Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.17,19.96,7.77,0.17,0.57,9.76,178,2412,251,9.76,1.34,0.8,6.3,cotton
3.0,13.79,8.4,1.08,0.46,32.91,252,2524,1311,169.83,0.73,2.74,31.37,cotton
1.82,20.59,7.87,0.43,0.31,17.02,112,1955,459,50.61,0.6,0.8,5.87,cotton
1.42,24.02,7.91,0.45,0.42,13.87,270,6689,1028,31.86,0.49,0.99,3.83,cotton
1.31,12.8,7.84,0.26,0.33,8.9,165,5840,574,7.92,0.48,0.75,3.87,cotton
1.69,12.68,8.27,0.18,0.43,3.42,90,5120,1027,7.99,0.26,0.67,2.5,cotton
1.34,7.89,8.1,0.19,0.39,5.79,115,7140,379,8.98,0.39,0.65,2.89,cotton
1.48,15.04,8.35,0.24,0.45,16.64,199,4690,1229,24.56,0.44,1.32,2.26,cotton
2.11,15.62,8.57,0.19,0.38,11.73,239,4300,1553,11.94,1.3,1.24,4.94,cotton
1.24,12.66,8.6,0.15,0.32,6.65,162,4685,1398,8.91,0.24,0.8,5.28,cotton
1.82,23.2,8.46,0.38,0.34,12.05,157,3868,636,28.42,0.56,0.95,4.0,cotton
1.23,10.9,8.55,0.19,0.29,10.21,136,4385,1068,13.74,0.28,0.84,1.4,cotton
0.89,9.4,8.42,0.2,0.28,7.08,171,4253,511,8.23,0.18,0.59,1.9,cotton
1.66,10.34,8.35,0.3,0.38,5.68,132,4336,1089,10.49,0.33,1.36,4.21,cotton
1.43,10.47,8.32,0.38,0.23,4.94,129,2135,496,14.33,0.47,1.57,7.38,cotton
1.42,28.26,7.83,0.47,0.43,38.06,249,797,665,25.8,0.66,2.0,6.56,cotton
2.2,8.96,8.1,0.29,0.38,23.0,257,1685,1205,18.59,1.42,2.01,4.76,cotton
2.79,10.85,8.19,0.25,0.51,8.98,190,2020,784,13.5,0.48,1.43,2.71,cotton
1.45,10.0,8.4,0.28,0.37,10.05,159,3672,1297,15.52,0.47,1.82,3.55,cotton
1.41,9.1,8.2,0.46,0.39,39.55,196,1123,690,20.47,0.99,1.84,4.47,cotton
1.8,10.93,8.46,0.26,0.43,15.13,146,2315,767,8.28,0.87,1.73,4.62,cotton
1.78,24.29,7.95,0.34,0.28,28.41,152,1013,734,22.62,0.77,1.74,6.45,cotton
3.18,23.15,8.24,0.22,0.49,10.85,254,1286,699,12.15,2.23,1.26,10.69,cotton
2.8,12.67,8.24,0.39,0.48,9.68,135,2252,592,29.99,0.51,1.53,19.61,cotton
3.96,14.87,7.85,1.16,0.49,28.56,256,6265,1712,113.71,1.21,1.87,30.29,cotton
5.44,14.52,7.86,3.7,0.66,34.75,1572,4310,1574,343.07,1.0,2.58,30.47,cotton
1.36,7.3,8.31,0.21,0.25,9.08,180,6888,1573,14.98,0.54,1.3,4.97,cotton
7.08,28.4,7.85,0.64,0.68,49.91,207,4008,1178,87.67,2.51,1.87,88.88,cotton
1.55,13.23,7.85,0.31,0.52,12.53,174,3388,668,24.27,0.47,1.16,6.04,cotton
4.38,12.89,7.83,5.62,0.53,28.33,1386,3360,1376,433.06,0.98,2.28,28.76,cotton
1.38,11.8,8.28,0.49,0.33,17.71,200,6623,1180,38.74,0.58,1.49,4.84,cotton
1.43,9.8,8.15,0.37,0.31,9.6,108,3102,497,26.33,0.42,1.01,4.89,cotton
2.73,9.09,8.17,0.61,0.39,10.99,245,5609,1578,26.8,0.81,2.0,11.02,cotton
3.14,8.88,8.1,0.62,0.4,16.66,243,4682,1149,54.68,1.07,2.07,8.01,cotton
2.72,9.92,8.2,0.84,0.39,19.85,198,5463,1745,68.29,0.58,1.95,18.72,cotton
4.56,13.53,7.8,0.53,0.55,21.25,243,4105,1258,37.27,0.7,1.61,41.85,cotton
2.18,13.71,7.98,0.61,0.44,35.5,284,3418,704,32.11,1.36,1.62,7.18,cotton
2.67,21.64,7.55,20.3,0.67,12.7,218,8153,2600,886.87,0.9,2.85,5.49,cotton
2.04,18.42,8.43,0.26,0.41,15.87,169,3282,931,19.12,1.2,1.02,4.48,cotton
1.86,13.56,8.95,0.23,0.31,9.19,97,3322,876,10.4,0.26,1.09,6.42,cotton
1.19,11.2,8.66,0.27,0.29,12.43,158,4838,1318,15.97,0.18,1.21,3.82,cotton
1.93,21.52,8.19,0.51,0.53,15.61,133,2940,612,53.92,0.34,1.26,10.72,cotton
5.04,46.62,7.02,0.68,0.8,31.27,214,2368,807,117.45,1.34,2.0,98.5,cotton
1.28,8.65,8.13,0.18,0.25,3.27,140,5953,876,8.4,0.27,0.72,4.64,cotton
1.58,9.14,8.2,0.16,0.17,1.36,106,4195,615,12.96,0.2,0.57,7.07,cotton
2.13,34.83,7.52,1.2,0.4,15.82,290,4464,894,46.06,0.62,1.43,9.32,cotton
1.4,11.54,8.05,0.47,0.26,6.44,182,4473,819,13.39,0.33,1.22,6.7,cotton
1.96,13.22,7.95,0.13,0.38,7.57,124,3719,419,6.59,0.4,1.11,9.59,cotton
1.85,15.94,8.26,0.31,0.35,10.58,133,3592,668,10.31,0.47,1.99,8.69,cotton
3.04,12.43,8.59,0.23,0.39,6.09,183,4134,1072,6.69,0.34,1.46,21.76,cotton
3.4,10.11,8.71,0.37,0.47,11.86,109,3344,889,9.91,0.49,2.22,22.5,cotton
2.38,10.88,8.5,0.28,0.33,14.04,269,5156,1646,12.07,0.35,2.71,8.5,cotton
2.27,12.42,8.73,0.53,0.25,8.15,141,3330,1009,23.76,0.83,2.27,11.04,cotton
3.84,12.31,8.58,0.42,0.38,30.28,154,3184,1032,34.19,1.41,1.62,29.83,cotton
2.02,17.54,7.26,0.11,0.27,25.85,286,1424,165,4.45,0.85,0.54,5.75,cotton
1.25,8.82,8.52,0.36,0.44,5.34,224,8950,1243,14.58,0.48,1.19,10.0,cotton
0.8,10.5,8.97,0.46,0.26,1.05,82,6557,799,14.12,0.22,1.95,6.1,cotton
1.13,5.56,8.38,0.22,0.35,3.82,155,7037,808,7.15,0.36,0.79,5.37,cotton
